-70,-78,-78,-72,-55,-57,-48,-53,-58,-48,-43,-46,-58,-39,-39,-49,-28,-42,-37,-43,-45,-22,-47,-51,-44,-53,-15,-34,-40,-22,-20,-38,-52,-44,-23,-54,-43,-60,-50,-28
-16,-58,-53,-94,-11,-69,-25,-85,-48,-16,-78,-18,-51,-64,-53,-36,-41,-87,-21,-14,-77,-47,-35,-65,-24,-45,-53,-11,-38,-60,-69,-62,-63,-50,-46,-47,-49,-49,-49,-49
-92,-20,-67,-34,-40,-74,-29,-42,-77,-14,-81,-48,-30,-70,-19,-61,-41,-46,-73,-36,-45,-62,-24,-42,-60,-72,-49,-52,-47,-40,-48,-43,-49,-47,-47,-52,-54,-48,-48,-52
-30,-49,-55,-33,-45,-51,-20,-33,-48,-35,-64,-18,-43,-10,-36,-44,-41,-42,-50,-40,-37,-47,-20,-46,-39,-50,-25,-43,-54,-48,-41,-45,-51,-31,-57,-47,-43,-52,-65,-47
-82,-30,-9,-82,-44,-31,-65,-45,-61,-5,-93,-26,-61,-25,-79,-48,-19,-79,-23,-57,-71,-46,-27,-62,-74,-4,-77,-69,-23,-55,-54,-17,-56,-69,-32,-14,-7,-41,-80,-67
-27,-65,-37,-53,-81,-8,-63,-65,-14,-51,-79,-61,-48,-25,-26,-52,-86,-64,-20,-9,-57,-96,-70,-32,-25,-51,-57,-33,-18,-29,-45,-51,-53,-51,-44,-47,-46,-47,-50,-44
-87,-46,-46,-29,-64,-81,-18,-75,-18,-59,-72,-17,-46,-77,-18,-43,-77,-49,-50,-34,-22,-68,-82,-52,-7,-17,-101,-70,-35,-21,-53,-59,-43,-36,-37,-46,-49,-43,-50,-48
-36,-46,-54,-48,-32,-40,-8,-46,-58,-51,-49,-38,-53,-58,-48,-59,-34,-42,-40,-58,-40,-36,-45,-42,-17,-39,-54,-46,-39,-44,-36,-46,-41,-45,-41,-57,-55,-59,-52,-62
-86,-40,-40,-32,-93,-30,-36,-31,-93,-17,-63,-35,-43,-91,-45,-6,-47,-81,-42,-17,-65,-76,-36,-22,-76,-82,-13,15,-28,-69,-98,-91,-76,-49,-36,-42,-38,-49,-47,-53
-92,-30,-60,-22,-87,-33,-51,-58,-33,-87,-48,2,-48,-78,-41,-12,-79,-61,-34,-59,-40,-10,-53,-68,-12,-43,-91,-75,-50,-42,-52,-52,-43,-41,-49,-32,-43,-51,-41,-45
-83,-59,-50,-19,-78,-60,-23,-48,-25,-86,-67,-5,-71,-63,-16,-42,-72,-67,-67,-51,-48,-26,-6,-3,-35,-101,-114,-59,23,6,-41,-94,-102,-67,-50,-51,-59,-58,-49,-48
-91,-50,-28,-70,-30,-25,-92,-70,-33,-18,-20,-47,-79,-90,-60,-15,-6,-3,-7,-45,-89,-111,-101,-90,-73,-74,-70,-74,-57,-51,-51,-60,-40,-47,-52,-49,-55,-42,-52,-42
-79,-50,-24,-59,-20,-31,-91,-48,-6,-20,-52,-75,-68,-56,-30,-25,-31,-85,-101,-76,-54,-18,-15,-22,-57,-78,-55,-24,-10,-12,-29,-46,-49,-56,-52,-53,-55,-43,-50,-37
-12,-17,-53,-109,-100,-58,-37,-25,-44,-54,-55,-60,-60,-45,-54,-47,-42,-50,-45,-46,-48,-41,-49,-49,-46,-50,-50,-49,-30,-39,-42,-50,-38,-35,-27,-38,-34,-47,-44,-39
-94,-57,-10,-70,-61,-24,-25,-76,-84,-70,-54,-38,-19,-17,-57,-94,-58,14,-44,-80,-49,-26,-65,-21,-60,-41,-57,-54,-45,-58,-44,-48,-46,-47,-44,-52,-54,-38,-52,-41
-31,1,-8,-13,-25,6,-19,-4,-19,-12,5,-24,-5,-16,-16,-2,-15,-6,-12,-20,-18,-21,-15,-19,-13,-10,-10,-10,-11,-10,-10,-11,-11,-12,-11,-12,-9,-12,-13,-10
-22,0,-3,-13,-33,9,-20,-3,-23,-15,6,-23,-10,-14,-18,-7,-11,-11,-8,-26,-11,-7,-12,-24,-19,-14,-13,-14,-11,-10,-13,-13,-12,-14,-12,-11,-13,-11,-11,-13
-33,-2,-1,-10,-35,4,-11,-11,-9,-30,-13,6,-12,-25,-15,-5,-4,-13,-20,-23,-19,-18,-17,-17,-16,-17,-19,-22,-21,-18,-17,-14,-11,-12,-10,-10,-11,-11,-12,-12
-33,2,-2,-18,-25,-4,-4,-23,-24,8,-24,-8,-6,-24,-18,0,-5,-19,-22,-3,-4,-25,-28,-17,-2,-2,-11,-16,-18,-19,-16,-16,-13,-12,-12,-10,-12,-12,-11,-10
-25,-1,7,-20,-26,0,-2,-17,-30,10,-20,-12,-3,-15,-23,-8,2,-6,-22,-26,-8,0,-16,-24,-15,-7,-3,-8,-13,-17,-16,-14,-11,-11,-9,-8,-10,-9,-9,-12
-25,-9,-5,-5,-12,-16,-16,-15,-18,-19,-20,-21,-19,-15,-9,-4,-1,-9,-16,-13,-13,-14,-12,-13,-13,-10,-10,-12,-12,-13,-10,-14,-9,-12,-13,-13,-8,-12,-14,-13
-31,2,-6,-5,-34,-12,3,-18,-14,0,-20,-30,-19,-1,3,-2,-7,-9,-14,-16,-17,-24,-26,-24,-23,-22,-21,-21,-23,-23,-9,-12,-13,-11,-9,-15,-15,-13,-15,-13
-33,-1,-6,-27,-14,-4,-18,-10,-22,-6,1,-25,-3,-15,-17,-8,-11,-13,-5,-15,-21,-13,-12,-2,1,-7,-5,-16,-17,-4,-11,-12,-11,-12,-11,-11,-11,-10,-11,-10
-28,-14,4,-19,-14,0,-16,-31,-23,-13,-7,-5,-5,-2,-1,-1,-2,-2,-1,-1,-2,-7,-10,-12,-14,-20,-8,-14,-13,-14,-13,-12,-12,-11,-9,-13,-12,-12,-11,-11
-26,-9,-1,-18,0,-24,-16,5,-9,-23,-14,-5,-2,-9,-24,-27,-18,-17,-9,-4,-6,-12,-24,-16,-6,-11,-10,-12,-11,-11,-12,-11,-13,-14,-11,-12,-13,-13,-10,-13
-25,-15,6,-10,-24,-14,-4,-10,-21,-18,-10,-4,-6,-15,-20,-16,-8,-4,-1,-5,-12,-12,-15,-15,-14,-13,-10,-8,-9,-10,-12,-15,-14,-12,-10,-9,-7,-12,-13,-11
-29,2,-10,-11,-6,-28,-31,-2,1,-18,-29,-22,-7,-2,-3,-11,-11,-16,-19,-19,-21,-23,-24,-26,-25,-17,-12,-8,-6,-5,-12,-10,-10,-13,-13,-13,-13,-12,-11,-11
-27,4,-5,-21,-4,6,-11,-28,-33,-21,-13,-6,1,-1,-2,-2,-3,0,2,2,3,2,-1,-2,0,-2,-12,-10,-11,-14,-13,-12,-13,-12,-11,-11,-11,-10,-10,-11
-32,-14,-1,3,-5,-15,-19,-18,-15,-15,-9,-3,-5,-2,1,-2,-2,-1,-7,-10,-11,-13,-18,-21,-19,-15,-13,-14,-12,-10,-11,-12,-12,-11,-11,-13,-11,-12,-12,-10
-27,-29,-33,-29,-25,-26,-24,-23,-20,-19,-18,-18,-16,-15,-12,-12,-14,-15,-15,-22,-24,-25,-22,-19,-15,-14,-13,-11,-10,-10,-12,-13,-12,-11,-11,-10,-12,-10,-11,-13
